Tajuk Tender,Nombor Tender,Kategori Perolehan,Kementerian,Agensi,Petender Berjaya,Nombor Daftar Syarikat,No Daftar MOF/PKK,Harga Setuju
"CADANGAN PEMBANGUNAN SEMULA DI KEM PASUKAN GERAKAN AM (PGA) BATALION 5 DI ATAS LOT 3122, MUKIM SIMPANG RENGGAM, DAERAH KLUANG, JOHOR DARUL TAKZIM. PAKEJ 1,2&3.",,PERKHIDMATAN PERUNDING,KEMENTERIAN KEWANGAN MALAYSIA,PEMBINAAN BLT SDN BHD (PBLT),ZNVA & ASSOCIATES SDN. BHD.,806677-M,465-00010193,302000.00
"PROJEK PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TAMAN ALAM, KUALA SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),AZLAN CONSULTING,001604908-T,465-02024362,136826.01
"PROJEK PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TAMAN ALAM, KUALA SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),NOORHASHIMA N NOORDIN ARCHITECT,SP/N 88,465-02001908,118517.53
BAIK PULIH JALAN DARI PEKAN GENTING KE BALIK PULAU DAN   DARI BAYAN LEPAS KE BALIK PULAU/ TELUK KUMBAR,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN PENGKALAN UDARA DAN MARITIM,JURUTERA PERUNDING FAJAR SDN. BHD.,489066-X,465-00001728,9424706.80
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SUB-SERANTAU UPPER KERAYONG, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,JURUTERA PERUNDING ZAABA SDN BHD,306236-U,465-00000761,4845047.00
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU CHERAS JAYA, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SMHB SDN BHD,63281-X,465-00000186,2629704.27
"MENYIAPKAN KERJA-KERJA TERTINGGAL BAGI MEMBINA JALAN BARU DARI LEBUHRAYA SEREMBAN/PD KE FR 5 FI PASIR PANJANG DAN MENAIKTARAF FR 5 DARI PASIR PANJANG KE LINGGI, NEGERI SEMBILAN (SEKSYEN 2)",,PERKHIDMATAN PERUNDING,KEMENTERIAN KERJA RAYA,BAHAGIAN PEMBANGUNAN DAN PENSWASTAAN (KKR),KL PRIMA CONSULT SDN BHD,363216-D,465-00000945,4046620.34
"REKABENTUK TERPERINCI PROJEK PEMBANGUNAN SISTEM PENGAIRAN PERTANIAN DAN KAWALAN BANJIR DI TASIK TITI TINGGI, PADANG BESAR, PERLIS",,PERKHIDMATAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,BAHAGIAN PENGAIRAN DAN SALIRAN PERTANIAN,PERUNDING BAKTI SDN BHD,22953-M,465-00000011,299600.00
"CADANGAN MEMBINA DAN MENYIAPKAN SEKOLAH KEBANGSAAN PENDIDIKAN KHAS (BUTA) DAN KEMUDAHAN BERKAITAN DI KUCHING, SARAWAK UNTUK KEMENTERIAN PELAJARAN MALAYSIA",,PERKHIDMATAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEMBANGUNAN,KONSORTIUM BUMI CONSULTANTS AND SERVICES SDN BHD,739586-U,465-02021722,1039949.55
"CADANGAN PEMBINAAN BANGUNAN BARU IBU PEJABAT POLIS DAERAH (IPD) JELI, KELANTAN.",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN MEKANIKAL,PERWIRA AL SHURA CONSULTING ENGINEERS SDN BHD,275931 D,465-00000098,1403166.70
REKABENTUK TERPERINCI BAGI RANCANGAN TEBATAN BANJIR BANDAR PEKAN(BAN SG.PAHANG),,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN PENGAIRAN DAN SALIRAN,RPM ENGINEERS SDN BHD,306812-M,465-00000220,4021240.00
PROJEK PERUMAHAN KASTAM SEPANGGAR SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN ARKITEK,VF CHIN ARCHITECT,SP/C 182,465-02017342,3753686.90
"KAJIAN SEMULA STRATEGI PEMBETUNGAN UNTUK BENTONG, PAHANG DARUL MAKMUR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,DNP CONSULT SDN. BHD.,612843-A,465-02003210,377720.00
"PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TASIK BIRU, KUNDANG, SELAYANG, SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),AZZAM CONSULT,001374149-A,465-02011020,174308.00
CADANGAN PROJEK PEMBINAAN SECARA 'INDUSTRIALISED BUILDING SYSTEM (IBS)' BAGI 6 BUAH SEKOLAH BARU DI NEGERI SELANGOR,,PERKHIDMATAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,KEMENTERIAN PELAJARAN MALAYSIA,DESIGN COST CONSULTANTS,2012/FP00510,465-00000596,1827564.03
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SUB-SERANTAU UPPER KERAYONG, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,DNP CONSULT SDN. BHD.,612843-A,465-02003210,6828651.95
PEMBINAAN PUSAT  AGENSI PENGUATKUASAAN MARITIM DI SANDAKAN SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),"JKR CAWANGAN KEJURUTERAAN AWAM, STRUKTUR & JAMBATAN (CKASJ)",KONSORTIUM BISTARI CS SDN BHD,720717-D,465-30000483,514753.50
STUDY ON MICRO ENTERPRISES HUB: TRANSFORMING FAILED PROJECTS INTO SPECIALISED HUBS,,PERKHIDMATAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,PERBADANAN PERUSAHAAN KECIL DAN SEDERHANA MALAYSIA (SME CORP MALAYSIA),INRICH ASSOCIATES (M) SDN. BHD.,838863V,465-02033258,462276.00
"THE DETAILED DESIGN OF ALL WORKS RELATED TO ""LENCONGAN BANJIR BARAT TIMAH TASOH PERLIS",,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN PENGAIRAN DAN SALIRAN,PAKATAN RUNDING YUSOFF SDN BHD,78824-D,465-02022842,6877500.00
"LOJI RAWATAN KUMBAHAN SERANTAU DAN RANGKAIAN PAIP PEMBETUNGAN DI KAWASAN TADAHAN KUALA TERENGGANU SELATAN, KUALA TERENGGANU, TERENGGANU",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,MECIP (M) SDN. BHD.,324762-H,465-00000235,2659783.00
CADANGAN PEMBINAAN IBU PEJABAT POLIS DAERAH (IPD) KOTA SETAR KEDAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),"JKR CAWANGAN KEJURUTERAAN AWAM, STRUKTUR & JAMBATAN (CKASJ)",ABADINI INTEGRAS ENGINEERS SDN. BHD.,509797-T,465-00002137,2154787.53
"PEMBINAAN IBU PEJABAT POLIS DAERAH (IPD) JOHOR BAHRU SELATAN, JOHOR",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),KAS JURUUKUR BAHAN SDN. BHD.,506437-V,465-00002068,1009189.35
"LOJI RAWATAN KUMBAHAN SERANTAU DAN RANGKAIAN PAIP PEMBETUNGAN DI KAWASAN TADAHAN KUALA TERENGGANU SELATAN, KUALA TERENGGANU, TERENGGANU",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,PERUNDING DMA SDN BHD,407847-P,465-00001170,1785066.69
"LOJI RAWATAN KUMBAHAN SERANTAU DAN RANGKAIAN PAIP PEMBETUNGAN DI BANDAR INDERA MAHKOTA, KUANTAN PAHANG",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SMHB SDN BHD,63281-X,465-00000186,6592487.32
RANCANGAN TEBATAN BANJIR SUNGAI DUYONG,,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN PENGAIRAN DAN SALIRAN,DR. NIK & ASSOCIATES SDN BHD,T/2202/2/95,465-00000203,4544405.00
"KLINIK PERGIGIAN PASIR AKAR, BESUT",,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,MULTI-SPEX ARCHITECTS SDN BHD,399039-H,465-00001143,290257.40
"UNIT 69 KOMANDO, PASUKAN GERAKAN KHAS (PGK) PDRM ULU KINTA PERAK",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),KAS JURUUKUR BAHAN SDN. BHD.,506437-V,465-00002068,1596042.50
"PEJABAT KASTAM KOTA KINABALU, SABAH",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN ARKITEK,VF CHIN ARCHITECT,SP/C 182,465-02017342,3753686.90
"PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BANDARAYA MELAKA, MELAKA BANDARAYA BERSEJARAH - BATU BERENDAM",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,DNP CONSULT SDN. BHD.,612843-A,465-02003210,3766688.13
PEMBANGUNAN PELAN INDUK GEOSPATIAL NEGARA,,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,PUSAT INFRASTRUKTUR DATA GEOSPATIAL NEGARA (MACGDI),AZAINE & FAKHRUL,BC/A/312(BARCOUNCIL),465-02040672,8552400.01
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU CHERAS BATU 11, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SMHB SDN BHD,63281-X,465-00000186,1820910.00
STUDY ON THE EFFECTIVENESS OF FINANCING SCHEME IN SUPPORTING ACCULTURATION OF ENTREPRENEURSHIP IN MALAYSIA,,PERKHIDMATAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,PERBADANAN PERUSAHAAN KECIL DAN SEDERHANA MALAYSIA (SME CORP MALAYSIA),KUALA LUMPUR BUSINESS SCHOOL SDN. BHD.,661583-K,465-02031054,390000.00
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU KAJANG 1 & 3, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SENIE ASSOCIATES SDN BHD,580426-D,465-02000303,2458335.00
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU CHERAS BATU 11, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,PERUNDING KOS PUTRA SDN BHD,501656 U,465-00002119,632971.68
"CADANGAN PEMBINAAN BANGUNAN TAMBAHAN 'MULTI STOREY BLOCK' UNTUK HOSPITAL SEBERANG JAYA, SEBERANG PERAI UTARA, PULAU PINANG",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),JURUTERA BUDIMAN SDN. BHD.,235335-P,465-00000099,8942028.50
"MEMBINA JALAN EMPAT LORONG DARI BULATAN E-MART, MATANG KE STAPOK, BATU KAWAH, KUCHING DAN JAMBATAN BARU MERENTASI SUNGAI SARAWAK",,PERKHIDMATAN PERUNDING,KEMENTERIAN KERJA RAYA,JABATAN KERJA RAYA SARAWAK,KONSORTIUM MALAYSIA,4610,465-00000292,5450655.27
MEMPERELOK JALAN GUA MUSANG - JELAWANG JELI,,PERKHIDMATAN PERUNDING,KEMENTERIAN KERJA RAYA,BAHAGIAN PEMBANGUNAN DAN PENSWASTAAN (KKR),PJS CONSULTANTS SDN. BHD.,139924-W,465-00000658,9536805.70
"PROJEK MEMBINA JALAN SEGAMA NOTHERN BYPASS (POIC), LAHAD DATU, SABAH",,PERKHIDMATAN PERUNDING,KEMENTERIAN KERJA RAYA,KEMENTERIAN KERJA RAYA,PERUNDING ERA DAYA SDN BHD,497121-X,465-00001916,2506025.46
"MEMBINA JALAN EMPAT LORONG DARI BULATAN E-MART, MATANG KE STAPOK, BATU KAWAH, KUCHING DAN JAMBATAN BARU MERENTASI SUNGAI SARAWAK",,PERKHIDMATAN PERUNDING,KEMENTERIAN KERJA RAYA,JABATAN KERJA RAYA SARAWAK,SAYTECH GENERAL INSPECTION SERVICES SDN BHD,260956-U,465-02000155,77645.00
"SALURAN PAIP UTAMA DARI PAIP LOJI BATU KITANG KE TANGKI BUKIT ENTINGGAN DAN KE TANGKI BATU 9 3/4, SERTA SEBUAH TANGKI AIR DI BATU 9 3/4, SAMARAHAN, SARAWAK",,PERKHIDMATAN PERUNDING,KEMENTERIAN KEMAJUAN LUAR BANDAR DAN WILAYAH,BAHAGIAN INFRASTRUKTUR,JURUTERA TCS SDN BHD,471905-P,465-02032836,4143825.00
"LOJI RAWATAN KUMBAHAN SERANTAU DAN RANGKAIAN PAIP PEMBETUNGAN DI BANDAR INDERA MAHKOTA, KUANTAN PAHANG",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,WAN HUSIN & ASSOCIATES SDN BHD,284377-X,465-00000689,6592487.32
"LOJI RAWATAN KUMBAHAN SERANTAU DAN RANGKAIAN PAIP PEMBETUNGAN DI BANDAR INDERA MAHKOTA, KUANTAN PAHANG",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,BEQS CONSULTANT SDN. BHD.,316374-W,465-02031768,1759452.00
KAJIAN-KAJIAN KESELAMATAN DAN KESIHATAN PKERJAAN BERKAITAN PENDEDAHAN HAZARD DALAM INDUSTRI SERTA IMPAK KEPADA AMALAN KESELAMATAN DAN KESIHATAN PEKERJAAN (KKP),,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,JABATAN KESELAMATAN DAN KESIHATAN PEKERJAAN,NATIONAL INSTITUTE OF OCCUPATIONAL SAFETY AND HEALTH,243042-U,465-02027340,2615549.30
"PEMBINAAN SATU BLOK TAMBAHAN YANG MENGANDUNGI ASRAMA, DEWAN MAKAN DAN BILIK KULIAH DI INSTITUT PENILAIAN NEGARA (INSPEN), MUKIM SEPANG, SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN MEKANIKAL,JURUTERA PERUNDING HBJ  SDN. BHD.,813995-D,465-02032182,653698.00
NAIKTARAF BLOK A & B HOSPITAL TAIPING,,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,AD ASSOCIATES SDN BHD,561171-H,465-02004651,832594.00
"CADANGAN PEMBINAAN BANGUNAN BARU IBU PEJABAT POLIS DAERAH (IPD) JELI, KELANTAN.",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),JURUTERA PERUNDING MARAK BERSEKUTU SDN BHD,893934-M,465-02032266,3811913.15
UPSI-FAKULTI PENDIDIKAN TEKNIKAL DAN VOKASIONAL DI KAMPUS UPSI TELUK INTAN(FASA 2 - BANGUNAN),,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KONTRAK DAN UKUR BAHAN,ARM PERUNDING SDN. BHD.,283858X,465-00000638,1059344.41
"UNIT 69 KOMANDO, PASUKAN GERAKAN KHAS (PGK) PDRM ULU KINTA PERAK",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),PS KONSULTANT SDN BHD,136105 U,465-02005244,4941035.00
"CADANGAN MEMBINA DAN MENYIAPKAN MAAHAD TAHFIZ SAINS DAN TEKNOLOGI ALAM IMPIAN, DAERAH KLANG, SELANGOR DARUL EHSAN",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA NEGERI SELANGOR,DESIGN COST CONSULTANTS,2012/FP00510,465-00000596,411210.71
PROJEK PERUMAHAN KASTAM SEPANGGAR SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),PERUNDING J N SHAM SDN. BHD.,728541-U,465-02025066,324403.50
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BUNUS, KUALA LUMPUR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SMHB SDN BHD,63281-X,465-00000186,8548319.81
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU CHERAS JAYA, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,KAS JURUUKUR BAHAN SDN. BHD.,506437-V,465-00002068,480815.36
"CADANGAN MEMBINA DAN MEYIAPKAN HOSPITAL BARU SRI AMAN, SARAWAK (108 KATIL)",,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,JABATAN KESIHATAN NEGERI SARAWAK,KONSORTIUM BUMI CONSULTANTS AND SERVICES SDN BHD,739586-U,465-02021722,3499972.90
PROJEK MENAIKTARAF DAN MEMBAIK PULIH SISTEM PAM AIR TERAWAT BUKIT MAYONG DAN KERJA-KERJA LAIN YANG BERKAITAN DI LOJI RAWATAN AIR SUNGAI SELANGOR FASA 1 (SSP),,PERKHIDMATAN PERUNDING,PENTADBIRAN KERAJAAN NEGERI SELANGOR,PENTADBIRAN KERAJAAN NEGERI SELANGOR,SEPAKAT SETIA PERUNDING (SDN) BHD,14142-M,465-00000714,1326175.00
"PROJEK MENAIK TARAF LOJI RAWATAN AIR SARIKEI, SARAWAK",,PERKHIDMATAN PERUNDING,KEMENTERIAN KEMAJUAN LUAR BANDAR DAN WILAYAH,BAHAGIAN INFRASTRUKTUR,O.B.E. CONSULTING SDN BHD,814929-W,465-30000443,3688596.77
PROJEK PEMBINAAN PEJABAT KASTAM KOTA KINABALU SABAH,,PERKHIDMATAN PERUNDING,KEMENTERIAN KEWANGAN MALAYSIA,JABATAN KASTAM DIRAJA MALAYSIA,KONSORTIUM BUMI CONSULTANTS AND SERVICES SDN BHD,739586-U,465-02021722,686380.50
"LOJI RAWATAN KUMBAHAN SERANTAU DAN RANGKAIAN PAIP PEMBETUNGAN DI KAWASAN TADAHAN KUALA TERENGGANU SELATAN, KUALA TERENGGANU, TERENGGANU",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,TECHNIC GRAND CONSULT SDN. BHD.,649559-W,465-02007539,7674143.00
"CADANGAN  KOMPLEKS KERJA RAYA 2 (KKR2), JALAN SULTAN SALAHUDDIN, KUALA LUMPUR",,PERKHIDMATAN PERUNDING,KEMENTERIAN KERJA RAYA,KEMENTERIAN KERJA RAYA,GDP ARCHITECTS SDN BHD,232661-A,465-00000387,826846.35
KAJIAN KEMUNGKINAN (FEASIBILITY STUDY) DAN KAJIAN IMPAK   ALAM SEKITAR TERPERINCI (DETAILED ENVIRONMENTAL IMPACT ASSESSMENT) BAGI  PEMBINAAN EMPANGAN MERSING,,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN BEKALAN AIR,ANGKASA CONSULTING SERVICES SDN BHD,37547-P,465-00000118,591939.80
"PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BANDARAYA MELAKA, MELAKA BANDARAYA BERSEJARAH - BATU BERENDAM",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,MINCONSULT SDN BHD,58835-P,465-00001118,2404353.00
STUDY ON REPOSITIONING MALAYSIA'S INVOLVEMENT IN INDONESIA-MALAYSIA-THAILAND GROWTH TRIANGLE (IMT-GT) AND BRUNEI-INDONESIA-MALAYSIA-PHILIPPINES EAST GROWTH AREA (BIMP-EAGA) SUBREGIONAL ECONOMIC COOPERATION,,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),UNIT PERANCANG EKONOMI (UPE),MALAYSIAN CENTRE FOR POLICY RESEARCH,807177-A,465-02032834,549760.00
