Tajuk Tender,Nombor Tender,Kategori Perolehan,Kementerian,Agensi,Petender Berjaya,Nombor Daftar Syarikat,No Daftar MOF/PKK,Harga Setuju
"PROJEK PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TAMAN ALAM, KUALA SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),ACQS,1993/FS00058,465-00000764,50525.09
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BATU, JINJANG KEPONG, KUALA LUMPUR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SEPAKAT SETIA PERUNDING (SDN) BHD,14142-M,465-00000714,6555750.00
MENAIKTARAF BAYAN LEPAS EXPRESSWAY DARIPADA BATU MAUNG KE JAMBATAN PULAU PINANG,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),JURUTEK CONSULTANTS,P8135,465-00001084,10151994.08
"PROJEK MENAIKTARAF LOJI AIR SUNGAI INTAN, PEMASANGAN DAN MENAIKTARAF PAIP AIR BAGI MENGATASI MASALAH BEKALAN AIR DI DAERAH SEMPORNA, SABAH",,PERKHIDMATAN PERUNDING,KEMENTERIAN KEMAJUAN LUAR BANDAR DAN WILAYAH,BAHAGIAN INFRASTRUKTUR,PERUNDING SHAHELMEY DAN RAKAN-RAKAN SDN. BHD.,490653-T,465-00010057,2524050.00
"RANCANGAN TEBATAN BANJIR SUNGAI BUNUS , WILAYAH PERSEKUTUAN KUALA LUMPUR - KERJA-KERJA UKUR TANAH",,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN PENGAIRAN DAN SALIRAN,"PERUNDING AZMAN, OOI & RAO SDN BHD",570050-H,465-02002042,4649238.06
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SUB-SERANTAU UPPER KERAYONG, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,PERUNDING DMA SDN BHD,407847-P,465-00001170,1537660.00
"CADANGAN MEMBINA DAN MENYIAPKAN SEKOLAH KEBANGSAAN PENDIDIKAN KHAS (BUTA) DAN KEMUDAHAN BERKAITAN DI KUCHING, SARAWAK UNTUK KEMENTERIAN PELAJARAN MALAYSIA",,PERKHIDMATAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEMBANGUNAN,KONSORTIUM BUMI CONSULTANTS AND SERVICES SDN BHD,739586-U,465-02021722,343435.07
PROJEK PENGGANTIAN PAIP AC DARI TANGKI SGI KE KAWASAN INDUSTRI RANCA-RANCA SEPANJANG 6KM MENGGUNAKAN PAIP MSCL BERUKURAN 600MM W.P. LABUAN,,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN BEKALAN AIR,PY KONSEP PERUNDING SDN BHD,150165-U,465-00000136,1578097.10
"KLINIK PERGIGIAN PASIR AKAR, BESUT",,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,NAZA CONSULTANT SDN BHD,726253-W,465-02017622,232473.68
"KLINIK PERGIGIAN PASIR AKAR, BESUT",,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,PERUNDING TEKNIK CEKAP,KT0186788-A,465-02005441,306995.24
"HOSPITAL BACHOK, KELANTAN (76 KATIL)",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),JENTRIK SDN BHD,23825-A,465-00000021,2290002.00
CADANGAN MENAIKTARAF JALAN MUAR-TANGKAK-SEGAMAT (FASA 1: PROJEK MELEBAR DAN MENAIKTARAF JALAN SEGAMAT-TANGKAK),,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN ELEKTRIK,PERUNDING EXEC,JM0311392V,465-00010378,1498203.00
PROJEK PERUMAHAN KASTAM SEPANGGAR SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN ARKITEK,ARKITEK OMA SDN BHD,252297-H,465-00000307,3701386.76
"MALAYSIAN VISION VALLEY (MVV): MEMBINA JALAN SUSUR DARI TOL BARU SEREMBAN KE JALAN LINGKARAN TENGAH SEREMBAN, JALAN SEREMBAN - LABU FT 362, DAERAH SEREMBAN NEGERI SEMBILAN",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),PRODUKTIF SEPAKAT CONSULTING ENGINEERS SDN. BHD.,467579-H,465-00010007,5886980.73
"PROJEK POLITEKNIK JELI, KELANTAN",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KONTRAK DAN UKUR BAHAN,HAH ASSOCIATES,LJBM 2000/FP00284,465-00001755,2506781.22
"KLINIK PERGIGIAN PASIR AKAR, BESUT",,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,JURUUKUR BAHAN PSZ SDN BHD,491200 D,465-00001693,121963.33
NAIKTARAF BLOK A & B HOSPITAL TAIPING,,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,STUDIOPLAN DESIGN PARTNERSHIP,T/02706/5/96,465-00000915,1365653.40
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU CHERAS BATU 11, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SEPAKAT SETIA PERUNDING (SDN) BHD,14142-M,465-00000714,1820910.00
"JALAN SEBAYA - BUKIT BUJANG BALAI BADANG-MENSUDUT LAMA, SEGAMAT JOHOR",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),PRODUKTIF SEPAKAT CONSULTING ENGINEERS SDN. BHD.,467579-H,465-00010007,5400748.50
"KAJIAN NORMA PERJAWATAN, UNJURAN, DASAR PENEMPATAN DAN PERTUKARAN GURU DAN KUMPULAN PELAKSANA KEMENTERIAN PELAJARAN MALAYSIA",,PERKHIDMATAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEROLEHAN DAN PENGURUSAN ASET,UNIT PERUNDINGAN UNIVERSITI MALAYA,000,465-00000081,6996715.92
PROJEK PERUMAHAN KASTAM SEPANGGAR SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),JURUTERA PERUNDING INTELEK SDN BHD,598999-K,465-02001100,467273.00
BAIK PULIH JALAN DARI PEKAN GENTING KE BALIK PULAU DAN   DARI BAYAN LEPAS KE BALIK PULAU/ TELUK KUMBAR,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),PZK SDN. BHD.,464305-D,465-00000724,247254.05
"PEMBINAAN LOJI RAWATAN KUMBAHAN DAN RANGKAIAN PAIP PEMBETUNGAN DI BANDARAYA MELAKA, MELAKA BANDARAYA BERSEJARAH - UKUR BAHAN",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,MF ASSOCIATES SDN BHD,217031-P,465-00000592,1022223.64
"KERJA PEMASANGAN BAND SCREEN DAN SAND INJECTOR PUMP BAGI MENYELESAIKAN MASALAH MENDAPAN SEDIMEN DAN SAMPAH DI MUKASAUK FASA 1 & 2, LOJI RAWATAN AIR, KG. LAWA GADONG, BEAUFORT, SABAH.",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",BAHAGIAN PEMBANGUNAN,PERUNDING SHAHELMEY DAN RAKAN-RAKAN SDN. BHD.,490653-T,465-00010057,547680.00
"PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BANDARAYA MELAKA, MELAKA BANDARAYA BERSEJARAH",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,MF ASSOCIATES SDN BHD,217031-P,465-00000592,1022223.64
"SALURAN PAIP UTAMA DARI PAIP LOJI BATU KITANG KE TANGKI BUKIT ENTINGGAN DAN KE TANGKI BATU 9 3/4, SERTA SEBUAH TANGKI AIR DI BATU 9 3/4, SAMARAHAN, SARAWAK",,PERKHIDMATAN PERUNDING,KEMENTERIAN KEMAJUAN LUAR BANDAR DAN WILAYAH,BAHAGIAN INFRASTRUKTUR,JURUTERA AZAN BERSEKUTU SDN BHD,840516-V,465-02032794,492532.00
PROJEK PEMBINAAN PEJABAT KASTAM KOTA KINABALU SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN ELEKTRIK,JURUTERA PERUNDING INTELEK SDN BHD,598999-K,465-02001100,983609.20
NAIKTARAF BLOK A & B HOSPITAL TAIPING,,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,PERKASA ASSOCIATES CONSULTING ENGINEERS SDN BHD,548160-P,465-02005180,638583.20
"CADANGAN PEMBINAAN BANGUNAN BARU IBU PEJABAT POLIS DAERAH (IPD) JELI, KELANTAN.",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),JURUKUR BAHAN CMC SDN BHD,895854-U,465-02032422,920644.00
NAIKTARAF BLOK A & B HOSPITAL TAIPING,,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,ARH JURUKUR BAHAN SDN BHD,172472-K,465-00000776,443318.60
"CADANGAN PEMBINAAN BANGUNAN BARU IBU PEJABAT POLIS DAERAH (IPD) JELI, KELANTAN.",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),ARIFFIN ARCHITECT SDN BHD,641788D,465-02034906,5794579.40
"PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TASIK BIRU, KUNDANG, SELAYANG, SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),IM JURUKUR BAHAN,1994/FS00150,465-00000627,58869.97
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BUNUS, KUALA LUMPUR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,ENGINEERING AND ENVIRONMENTAL CONSULTANTS SDN BHD,69442-U,465-00000013,11611238.00
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BUNUS, KUALA LUMPUR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,KAS JURUUKUR BAHAN SDN. BHD.,506437-V,465-00002068,3176808.85
"CADANGAN MEMBINA DAN MENYIAPKAN BLOK WANITA & KANAK-KANAK DAN PUSAT KARDIOLOGI, HOSPITAL RAJA PERMAISURI BAINUN, IPOH, PERAK",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),ARUP JURURUNDING SDN. BHD.,97905-U,465-00000029,3402178.15
PROJEK ICT CORE SYSTEM PERKESO,,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),INNOVATION ASSOCIATES CONSULTING SDN. BHD.,555149-U,465-00010482,2131794.15
"PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BANDARAYA MELAKA, MELAKA BANDARAYA BERSEJARAH",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,DNP CONSULT SDN. BHD.,612843-A,465-02003210,3248549.25
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU KAJANG 1 & 3, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,MF ASSOCIATES SDN BHD,217031-P,465-00000592,979794.07
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU KAJANG 1 & 3, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SEPAKAT SETIA PERUNDING (SDN) BHD,14142-M,465-00000714,4061127.00
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU CHERAS JAYA, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,ENGINEERING AND ENVIRONMENTAL CONSULTANTS SDN BHD,69442-U,465-00000013,1487690.00
"DETAILED ENVIRONMENT IMPACT ASSESSMENT (DEIA) UNTUK PROJEK PEMBINAAN EMPANGAN KAHANG DI DAERAH KLUANG, JOHOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN BEKALAN AIR,GUNUNG-GANANG CORPORATION SDN. BHD.,476117-P,465-00001994,1761802.00
"REKABENTUK TERPERINCI PEMULIHARAAN MUARA SUNGAI BESUT, TERENGGANU",,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN PENGAIRAN DAN SALIRAN,DR. NIK & ASSOCIATES SDN BHD,T/2202/2/95,465-00000203,9415500.00
PROJEK PEMBINAAN PEJABAT KASTAM KOTA KINABALU SABAH,,PERKHIDMATAN PERUNDING,KEMENTERIAN KEWANGAN MALAYSIA,JABATAN KASTAM DIRAJA MALAYSIA,ARKITEK.M.AZAHARI,LAM SP/M 91,465-02000124,3753686.90
PROJEK MENAIKTARAF DAN MENGGANTI SISTEM AGIHAN BEKALAN AIR SEDIA ADA DI SEPANJANG JALAN MOHD SALLEH DAN JALAN BEBULOH DARI PERSIMPANGAN TUN MUSTAPHA HINGGA TERMINAL MINYAK MENTAH SHELL DI KIAMSAM DI WILAYAH PERSEKUTUAN LABUAN,,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN BEKALAN AIR,JURUTERA PERUNDING JESSELTON,376 S/P,465-20000424,1091638.40
"CADANGAN PEMBINAAN BANGUNAN BARU IBU PEJABAT POLIS DAERAH (IPD) JELI, KELANTAN.",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN ELEKTRIK,MEGA JATI CONSULT SDN. BHD.,457194-P,465-00001462,1669420.50
MENAIKTARAF LEBUHRAYA PASIR GUDANG (FT 17) DARI 4 LORONG KEPADA 6 LORONG (FASA 2A),,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN ELEKTRIK,PERUNDING BAKTI SDN BHD,22953-M,465-00000011,1263384.00
UNIVERSITI MALAYSIA PERLIS (UNIMAP) - PEMBINAAN PUSAT PENGAJIAN KEJURUTERAAN (PPK) SISTEM ELEKTRIK DAN MAKMAL,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KONTRAK DAN UKUR BAHAN,PERUNDING DMA SDN BHD,407847-P,465-00001170,754462.50
"KUARTERS KLINIK PERGIGIAN CHIKU 3, GUA MUSANG",,PERKHIDMATAN PERUNDING,KEMENTERIAN KESIHATAN MALAYSIA,BAHAGIAN PERKHIDMATAN KEJURUTERAAN,MOHD ASRI SALLEH ARCHITECT,SP/M 147,465-02031880,266383.00
"DETAILED DESIGN OF FLOOD MITIGATION PROJECT FOR SIBU (PHASE 2), SARAWAK",,PERKHIDMATAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN PENGAIRAN DAN SALIRAN,JURUTERA JASA (SARAWAK) SDN BHD,206557-V,465-00000112,2064650.00
"PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TASIK BIRU, KUNDANG, SELAYANG, SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),ABD. KHALID ARCHITECT,(NULL),465-00001915,161850.00
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU BATU, JINJANG KEPONG, KUALA LUMPUR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,DNP CONSULT SDN. BHD.,612843-A,465-02003210,8714565.04
"KAJIAN ""A STUDY ON POTENTIAL ON MIDDLE EAST MARKET NEEDS AND GROWTH TO INCREASE ARRIVAL TO MALAYSIA""",,PERKHIDMATAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN,LEMBAGA PENGGALAKAN PELANCONGAN MALAYSIA,MSC MANAGEMENT SERVICES SDN BHD,476853-W,465-02031053,2369090.70
MEMBANGUNKAN PELAN TINDAKAN BLUEPRINT SEKTOR PERKHIDMATAN,,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),UNIT PERANCANG EKONOMI (UPE),MCG SDN. BHD.,851401-W,465-02032538,4305312.00
JALAN PASIR MAS BYPASS FASA II (FASA 2B & 2C),,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),"JKR CAWANGAN KEJURUTERAAN AWAM, STRUKTUR & JAMBATAN (CKASJ)",WAN HUSIN & ASSOCIATES SDN BHD,284377-X,465-00000689,5609875.25
PROJEK PERUMAHAN KASTAM SEPANGGAR SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),JURUTEK CONSULTANTS,P8135,465-00001084,2585460.07
"MEMBINA DAN MENYIAPKAN INSTITUTE BAHASA MELAYU (IBMM) DI JALAN PANTAI, KUALA LUMPUR",,PERKHIDMATAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,KEMENTERIAN PENGAJIAN TINGGI,PAKATAN RUNDING ZAIN SPENCER SDN BHD,607057-D,465-02012560,1779232.43
"KAJIAN SEMULA PELAN EKOPELANCONGAN
KEBANGSAAN  MALAYSIA
(REVIEW OF NATIONAL ECOTOURISM PLAN)",,PERKHIDMATAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN,KONSEP INOVARTIS SDN BHD,452708-M,465-00010345,1931971.00
PROJEK PEMBINAAN PEJABAT KASTAM KOTA KINABALU SABAH,,PERKHIDMATAN PERUNDING,KEMENTERIAN KEWANGAN MALAYSIA,JABATAN KASTAM DIRAJA MALAYSIA,VF CHIN ARCHITECT,SP/C 182,465-02017342,3753686.90
PROJEK PEMBINAAN PEJABAT KASTAM KOTA KINABALU SABAH,,PERKHIDMATAN PERUNDING,KEMENTERIAN KEWANGAN MALAYSIA,JABATAN KASTAM DIRAJA MALAYSIA,PERUNDING PUNCAK ANUGERAH SDN. BHD.,693867-W,465-02012000,2479052.98
"PROJEK MENAIK TARAF LOJI RAWATAN AIR SARIKEI, SARAWAK",,PERKHIDMATAN PERUNDING,KEMENTERIAN KEMAJUAN LUAR BANDAR DAN WILAYAH,BAHAGIAN INFRASTRUKTUR,PERUNDING C.F.,55411,465-02006468,3954110.00
"KAJIAN SEMULA PELAN EKOPELANCONGAN
KEBANGSAAN  MALAYSIA
(REVIEW OF NATIONAL ECOTOURISM PLAN)",,PERKHIDMATAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN,KONSEP INOVARTIS SDN BHD,452708-M,465-00010345,1931971.00
"MENAIKTARAF JALAN SENAWANG-PERSIMPANGAN LEKAS, NEGERI SEMBILAN",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN ELEKTRIK,JURUNDING YFP SDN BHD,368860H,465-00010264,298127.00
"CADANGAN PEMBANGUNAN SEMULA IBU PEJABAT POLIS DAERAH JELI, 1 UNIT KUARTERS KELAS C, 6 UNIT KUARTERS KELAS D, 10 UNIT KUARTERS KELAS E, 100 UNIT KUARTERS KELAS F, KEMUDAHAN-KEMUDAHAN LAIN DAN KERJA-KERJA INFRASTRUKTUR DI ATAS LOT PT 1099, MUKIM JELI, TEPI SUNGAI, DAERAH JELI, JAJAHAN JELI, KELANTAN DARUL NAIM.",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN ELEKTRIK,MEGA JATI CONSULT SDN. BHD.,457194-P,465-00001462,1669420.50
PROJEK PERUMAHAN KASTAM SEPANGGAR SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KONTRAK DAN UKUR BAHAN,PERUNDING KK BINA SENDIRIAN BERHAD,801622 D,465-02030690,863986.19
PROJEK PEMBINAAN PEJABAT KASTAM KOTA KINABALU SABAH,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JABATAN KERJA RAYA MALAYSIA (JKR),PERUNDING PUNCAK ANUGERAH SDN. BHD.,693867-W,465-02012000,2479052.98
KERJA-KERJA UKUR UNTUK PROJEK PENYALURAN AIR MENTAH ISKANDAR MALAYSIA (PAMIM),,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN BEKALAN AIR,TOTAL SURVEY CONSULTANTS,363,465-02002062,861438.50
